"Train_No","Train_Name","Source_Station_Name","Destination_Station_Name","days"
"6412","DSJ-PAY EZHI","DELHI-SAFDAR JANG","PAYYANUR","Friday"
"6512","MKM-BAND ONE","MARIKUPPAM","BANASWADI","Wednesday"
"6513","BWT-MKM-MEMU","BANGARPET JN.","MARIKUPPAM","Sunday"
"6541","YPR-PVR WEEK","YESVANTPUR JN.","PANDHARPUR","Sunday"
"6542","PVR-YPR WEEK","PANDHARPUR","YESVANTPUR JN.","Wednesday"
"6547","YPR-ERS WEEK","YESVANTPUR JN.","ERNAKULAM. JN","Thursday"
"6548","ERS-YPR WEEK","ERNAKULAM. JN","YESVANTPUR JN.","Wednesday"
"6579","YPR-VSKP WKY","YESVANTPUR JN.","VISAKHAPATNAM","Friday"
"6580","VSKP-YPR WKY","VISAKHAPATNAM","YESVANTPUR JN.","Tuesday"
"6581","YPR-BGM TATK","YESVANTPUR JN.","BELGAUM","Thursday"
"6582","BGM-YPR TATK","BELGAUM","YESVANTPUR JN.","Monday"
"6591","YPR-HSRA PAS","YESVANTPUR JN.","HOSUR","Monday"
"6592","HSRA-YPR PAS","HOSUR","YESVANTPUR JN.","Tuesday"
"6593","WFD-BYPL DEM","WHITE FIELD","BAIYYAPPANAHALLI","Sunday"
"6594","BYPL-WFD DEM","BAIYYAPPANAHALLI","WHITE FIELD","Saturday"
"6595","YPR-CBP PASS","YESVANTPUR JN.","DEVANHALLI","Saturday"
"6596","CBP-YPR PASS","DEVANHALLI","YESVANTPUR JN.","Tuesday"
"6647","KRBA-BSP PAS","KORBA","BILASPUR JN.","Friday"
"6648","BSP-KRRBA PA","BILASPUR JN.","KORBA","Friday"
"6769","PGTN-PLNI PA","PALGHAT TOWN","PALANI","Wednesday"
"6770","PLNI-PGTN PA","PALANI","PALGHAT TOWN","Thursday"
"6851","KIK-NCR DEMU","KARAIKAL","NAGORE","Wednesday"
"6852","NCR-KIK DEMU","NAGORE","KARAIKAL","Sunday"
"6853","KIK-NCR PASS","KARAIKAL","NAGORE","Thursday"
"6854","NCR-KIK PASS","NAGORE","KARAIKAL","Monday"
"6919","UBL-BJP SPL","HUBLI JN.","BIJAPUR JN","Saturday"
"6920","BJP-UBL SPL","BIJAPUR JN","HUBLI JN.","Monday"
"7005","HYB-RXL","HYDERABAD DECCAN","RAXAUL JN.","Sunday"
"7006","RXL-HYB","RAXAUL JN.","HYDERABAD DECCAN","Saturday"
"7007","SC-DBG","SECUNDERABAD JN.","DARBHANGA JN.","Sunday"
"7008","DBG-SC","DARBHANGA JN.","SECUNDERABAD JN.","Wednesday"
"7016","KCG-VSKP","KACHEGUDA","VISAKHAPATNAM","Saturday"
"7044","VSKP HSP","TIRUPATI","VISAKHAPATNAM","Monday"
"7061","COA-VLNK","KAKINADA PORT","VIJAYWADA JN.","Tuesday"
"7062","VLNK-BZA","VIJAYWADA JN.","KAKINADA PORT","Friday"
"7075","HYB-COA","SECUNDERABAD JN.","KAKINADA TOWN","Wednesday"
"7076","COA-HYB","KAKINADA TOWN","SECUNDERABAD JN.","Thursday"
"7109","HYB-QLN","HYDERABAD DECCAN","QUILON","Thursday"
"7110","QLN-HYB","QUILON","HYDERABAD DECCAN","Monday"
"7113","KRMR-QLN","KARIM NAGAR","QUILON","Wednesday"
"7133","HYB-GNT-QLN","HYDERABAD DECCAN","QUILON","Thursday"
"7134","QLN-GNT-HYB","QUILON","HYDERABAD DECCAN","Saturday"
"7141","HYB-QLN","HYDERABAD DECCAN","QUILON","Thursday"
"7142","QLN-HYB","QUILON","HYDERABAD DECCAN","Sunday"
"7146","TPTY-KCG","TIRUPATI","KACHEGUDA","Friday"
"7149","SC-GHY HSP","SECUNDERABAD JN.","GUWAHATI","Thursday"
"7211","CCT-QLN","KAKINADA TOWN","QUILON","Tuesday"
"7212","QLN-COA","QUILON","KAKINADA TOWN","Friday"
"7213","BZA-QLN","VIJAYWADA JN.","QUILON","Friday"
"7214","QLN-BZA","QUILON","VIJAYWADA JN.","Tuesday"
"7217","NS-QLN","NARASAPUR","QUILON","Friday"
"7218","QLN-NS","QUILON","NARASAPUR","Monday"
"7410","TPTY-AK","TIRUPATI","AURANGABAD","Saturday"
"7417","TPTY-NSL HSP","TIRUPATI","NAGARSOL","Monday"
"7418","NSL-TPTY HSP","NAGARSOL","TIRUPATI","Monday"
"7425","KCG--COA HSP","KACHEGUDA","KAKINADA PORT","Saturday"
"7426","COA-KCG HSP","KAKINADA PORT","KACHEGUDA","Sunday"
"7429","SC-TPTY","SECUNDERABAD JN.","TIRUPATI","Wednesday"
"7430","TPTY-SC","TIRUPATI","SECUNDERABAD JN.","Thursday"
"7431","CCT-TPTY","KAKINADA TOWN","TIRUPATI","Friday"
"7432","TPTY-CCT","TIRUPATI","KAKINADA TOWN","Tuesday"
"7435","COA-HYB","KAKINADA TOWN","SECUNDERABAD JN.","Sunday"
"7436","SC-COA","SECUNDERABAD JN.","KAKINADA TOWN","Saturday"
"7438","KCG-TATA HSP","KACHEGUDA","TATANAGAR JN","Tuesday"
"7439","TATA-KCG HSP","TATANAGAR JN","KACHEGUDA","Tuesday"
"7487","TPTY-VSKP","TIRUPATI","VISAKHAPATNAM","Wednesday"
"7505","AWB-QLN","AURANGABAD","QUILON","Wednesday"
"7509","ADB-QLN","ADILABAD","QUILON","Thursday"
"7517","BIDAR-PVR","BIDAR","PANDHARPUR","Thursday"
"7525","NJP - NBQ DE","SILIGURI JN.","NEW BONGAIGAON  JN.","Tuesday"
"7526","NBQ - NJP DE","NEW BONGAIGAON  JN.","SILIGURI JN.","Tuesday"
"7603","KCG-KJM HSP","KACHEGUDA","KRISHNA RAJA PURAM","Wednesday"
"7604","KJM-KCG HSP","KRISHNA RAJA PURAM","KACHEGUDA","Wednesday"
"7607","NED-TPTY HOL","NANDED","TIRUPATI","Saturday"
"7608","TPTY-NED","TIRUPATI","NANDED","Monday"
"7613","sabarimalai","NIZAMABAD","QUILON","Tuesday"
"7614","sabarimalai","QUILON","NIZAMABAD","Sunday"
"7644","tpty spl","KAKINADA TOWN","TIRUPATI","Sunday"
"7645","RU-CCT","RENIGUNTA JN.","KAKINADA TOWN","Thursday"
"7757","SC-BZA  SPL","SECUNDERABAD JN.","VIJAYWADA JN.","Sunday"
"7758","BZA-SC  SPL","VIJAYWADA JN.","SECUNDERABAD JN.","Tuesday"
"7941","CCT-TPTY HSP","KAKINADA TOWN","RENIGUNTA JN.","Monday"
"7942","TPTY-COASPL","TIRUPATI","KAKINADA TOWN","Wednesday"
"8001","KGP-JGM BI-W","KHARAGPUR","JHARGRAM","Tuesday"
"8002","JGM-KGP BI-W","JHARGRAM","KHARAGPUR","Thursday"
"8014","MDN-KGP MEMU","MIDNAPORE","KHARAGPUR","Monday"
"8017","KGP-JGM MEMU","KHARAGPUR","JHARGRAM","Sunday"
"8018","JGM-KGP MEMU","JHARGRAM","KHARAGPUR","Tuesday"
"8035","BLS - KGP DE","KHARAGPUR","BALASORE","Saturday"
"8036","BLS - KGP ME","BALASORE","KHARAGPUR","Sunday"
"8051","KGP JGM MEMU","KHARAGPUR","JHARGRAM","Thursday"
"8052","JGM KGP MEMU","JHARGRAM","KHARAGPUR","Saturday"
"8061","SHM JP SPL W","SHALIMAR","JAIPUR JN.","Friday"
"8062","JP SHM SPL W","JAIPUR JN.","SHALIMAR","Wednesday"
"8063","KGP-BQA DEMU","KHARAGPUR","BANKURA","Sunday"
"8064","BQA-KGP DEMU","BANKURA","KHARAGPUR","Monday"
"8065","KGP-BQA MEMU","KHARAGPUR","BANKURA","Tuesday"
"8082","BQA-VSU MEMU","BANKURA","BISHNUPUR","Sunday"
"8087","VSU-BQA MEMU","BISHNUPUR","BANKURA","Wednesday"
"8101","CBSA CKP DEM","CHAIBASA","CHAKARADHARPUR","Friday"
"8102","CKP-CBSA DEM","CHAKARADHARPUR","CHAIBASA","Wednesday"
"8301","SBP-BAND WEE","SAMBALPUR JN.","BANASWADI","Sunday"
"8302","BAND-SBP WEE","BANASWADI","SAMBALPUR JN.","Sunday"
"8403","PURI-SRC WEE","PURI","SANTRAGACHI JN.","Sunday"
"8404","SRC-PURI WEE","SANTRAGACHI JN.","PURI","Friday"
"8501","VSKP SC WEEK","VISAKHAPATNAM","SECUNDERABAD JN.","Wednesday"
"8502","SC VSKP SPEC","SECUNDERABAD JN.","VISAKHAPATNAM","Sunday"
"8511","KRDL-VSKP SP","KIRANDUL","VISAKHAPATNAM","Friday"
"8512","VSKP-KRDL SP","VISAKHAPATNAM","KIRANDUL","Wednesday"
"8567","VSKP-QLN BI-","VISAKHAPATNAM","QUILON","Monday"
"8568","QLN-VSKP BI-","QUILON","VISAKHAPATNAM","Wednesday"
"8573","VSKP-TPTY WE","VISAKHAPATNAM","TIRUPATI","Tuesday"
"8574","TPTY-VSKP SP","TIRUPATI","VISAKHAPATNAM","Tuesday"
"8581","BPQ CAF PASS","BALHARSHAH","CHANDAFORT","Friday"
"8582","CAF BPQ SPL","CHANDAFORT","BALHARSHAH","Tuesday"
"8617","RNC ANVT SPL","RANCHI","ANAND VIHAR TERMINAL","Monday"
"8618","ANVT RNC SPL","ANAND VIHAR TERMINAL","RANCHI","Sunday"
"8627","HWH RNC SPL","HOWRAH JN.","RANCHI","Saturday"
"8628","RNC HWH  SPL","RANCHI","HOWRAH JN.","Friday"
"8872","DURG-G PASS","DURG","GONDIA JN.","Monday"
"9003","BDTS NZM  SF","BANDRA TERMINUS","HAZRAT NIZAMUDDIN JN","Saturday"
"9004","NZM  BDTS SF","HAZRAT NIZAMUDDIN JN","BANDRA TERMINUS","Monday"
"9005","BCT NDLS BI","MUMBAI CENTRAL","NEW DELHI","Wednesday"
"9006","NDLS BCT BI","NEW DELHI","MUMBAI CENTRAL","Sunday"
"9011","BDTS BKN WEE","BANDRA TERMINUS","BIKANER JN.","Thursday"
"9012","BKN BDTS WEE","BIKANER JN.","BANDRA TERMINUS","Tuesday"
"9433","BDTS GIMB WE","BANDRA TERMINUS","GANDHIDHAM JN.","Wednesday"
"9434","GIMB BDTS WE","GANDHIDHAM JN.","BANDRA TERMINUS","Wednesday"
"9621","AII BDTS SF","AJMER JN.","BANDRA TERMINUS","Tuesday"
"9622","BDTS AII SF","BANDRA TERMINUS","AJMER JN.","Saturday"
"9721","JP UDZ SF SP","JAIPUR JN.","UDAIPUR CITY","Friday"
"9722","UDZ JP SF SP","UDAIPUR CITY","JAIPUR JN.","Wednesday"
"9761","SGNR-SOG SPL","SHRI GANGANAGAR","SURATGARH JN.","Friday"
"9809","KOTA-NZM DAI","KOTA","HAZRAT NIZAMUDDIN JN","Saturday"
"9810","NZM-KOTA DAI","HAZRAT NIZAMUDDIN JN","KOTA","Monday"
"10103","MANDOVI EXPR","CST-MUMBAI","MADGOAN JN.","Thursday"
"10104","MANDOVI EXPR","MADGOAN JN.","CST-MUMBAI","Monday"
"10111","KONKAN KANYA","CST-MUMBAI","MADGOAN JN.","Friday"
"10112","KONKAN KANYA","MADGOAN JN.","CST-MUMBAI","Saturday"
"10215","MAO-ERS","MADGOAN JN.","ERNAKULAM. JN","Tuesday"
"10216","ERS-MAO SPL","ERNAKULAM. JN","MADGOAN JN.","Wednesday"
"11001","SNSI-PVR EXP","SAI NAGAR SHIRDI","PANDHARPUR","Wednesday"
"11002","PVR-SNSI EXP","PANDHARPUR","SAI NAGAR SHIRDI","Sunday"
"11003","DR-SWV TUTAR","DADAR","SAWANTWADI ROAD","Friday"
"11004","SWV-DR TUTAR","SAWANTWADI ROAD","DADAR","Friday"
"11005","DR-PDY EXPRE","DADAR","PONDICHERRY","Saturday"
"11006","CHALUKYA EXP","PONDICHERRY","DADAR","Saturday"
"11007","DECCAN EXPRE","CST-MUMBAI","PUNE JN.","Wednesday"
"11008","DECCAN EXPRE","PUNE JN.","CST-MUMBAI","Monday"
"11009","SINHAGAD EXP","CST-MUMBAI","PUNE JN.","Thursday"
"11010","SINHAGAD EXP","PUNE JN.","CST-MUMBAI","Sunday"
"11011","LTT-NED EXPR","LOKMANYA TILAK TERMINUS","NANDED","Friday"
"11012","NED-LTT  EXP","NANDED","LOKMANYA TILAK TERMINUS","Monday"
"11013","COIMBATORE E","LOKMANYA TILAK TERMINUS","COIMBATORE  JN.","Tuesday"
"11014","LOKMANYA TT","COIMBATORE  JN.","LOKMANYA TILAK TERMINUS","Wednesday"
"11015","KUSHINAGAR E","LOKMANYA TILAK TERMINUS","GORAKHPUR JN.","Saturday"
"11016","KUSHINAGAR E","GORAKHPUR JN.","LOKMANYA TILAK TERMINUS","Sunday"
"11017","LTT-KIK WEEK","LOKMANYA TILAK TERMINUS","KARAIKAL","Thursday"
"11018","KARAIKAL LTT","KARAIKAL","LOKMANYA TILAK TERMINUS","Wednesday"
"11019","KONARK EXPRE","CST-MUMBAI","BHUBANESWAR","Friday"
"11020","KONARK EXPRE","BHUBANESWAR","CST-MUMBAI","Wednesday"
"11021","DR-TEN EXPRE","DADAR","TIRUNELVELI JN","Saturday"
"11022","TEN - DR EXP","TIRUNELVELI JN","DADAR","Saturday"
"11023","SAHYADRI EXP","CST-MUMBAI","CHHATRAPATI SHAHU MAHARAJ TERMINUS","Wednesday"
"11024","SAHYADRI EXP","CHHATRAPATI SHAHU MAHARAJ TERMINUS","CST-MUMBAI","Thursday"
"11025","BSL-PUNE EXP","BHUSAVAL JN.","PUNE JN.","Tuesday"
"11026","PUNE-BSL EXP","PUNE JN.","BHUSAVAL JN.","Saturday"
"11027","CSMT-MAS MAI","CST-MUMBAI","CHENNAI CENTRAL","Sunday"
"11028","MAS-CSMT MUM","CHENNAI CENTRAL","CST-MUMBAI","Thursday"
"11029","KOYNA EXPRES","CST-MUMBAI","CHHATRAPATI SHAHU MAHARAJ TERMINUS","Tuesday"
"11030","KOYNA EXPRES","CHHATRAPATI SHAHU MAHARAJ TERMINUS","CST-MUMBAI","Friday"
"11031","SUR-BJP EPXR","SOLAPUR","BIJAPUR JN","Saturday"
"11032","BJP-SUR EXPR","BIJAPUR JN","SOLAPUR","Wednesday"
"11033","PUNE-DBG EXP","PUNE JN.","DARBHANGA JN.","Friday"
"11034","DBG-PUNE EXP","DARBHANGA JN.","PUNE JN.","Wednesday"
"11035","SHARAVATHI E","DADAR","MYSORE JN.","Friday"
"11036","SHARAVATI EX","MYSORE JN.","DADAR","Tuesday"
"11037","PUNE-GKP EXP","PUNE JN.","GORAKHPUR JN.","Friday"
"11038","GKP-PUNE EXP","GORAKHPUR JN.","PUNE JN.","Tuesday"
"11039","MAHARASHTRA","CHHATRAPATI SHAHU MAHARAJ TERMINUS","GONDIA JN.","Thursday"
"11040","MAHARASHTRA","GONDIA JN.","CHHATRAPATI SHAHU MAHARAJ TERMINUS","Friday"
"11041","CSMT -MAS EX","CST-MUMBAI","CHENNAI CENTRAL","Tuesday"
"11042","MAS-CSMT MUM","CHENNAI CENTRAL","CST-MUMBAI","Saturday"
"11043","LTT-MADURAI","LOKMANYA TILAK TERMINUS","MADURAI JN","Tuesday"
"11044","LOKAMANYA TT","MADURAI JN","LOKMANYA TILAK TERMINUS","Sunday"
"11045","DIKSHABHOOMI","CHHATRAPATI SHAHU MAHARAJ TERMINUS","DHANBAD JN.","Sunday"
"11046","DIKSHABHUMI","DHANBAD JN.","CHHATRAPATI SHAHU MAHARAJ TERMINUS","Sunday"
"11047","MRJ UBL EXP","MIRAJ JN.","HUBLI JN.","Friday"
"11048","UBL MRJ EXPR","HUBLI JN.","MIRAJ JN.","Sunday"
"11049","ADI-KOP EXPR","AHMEDABAD","CHHATRAPATI SHAHU MAHARAJ TERMINUS","Saturday"
"11050","KOP-ADI EXPR","CHHATRAPATI SHAHU MAHARAJ TERMINUS","AHMEDABAD","Saturday"
"11051","SUR - KOP EX","SOLAPUR","CHHATRAPATI SHAHU MAHARAJ TERMINUS","Friday"
"11052","KOP - SUR EX","CHHATRAPATI SHAHU MAHARAJ TERMINUS","SOLAPUR","Sunday"
"11053","LTT-AMH EXPR","LOKMANYA TILAK TERMINUS","AZAMGARH","Thursday"
"11054","AMH-LTT EXPR","AZAMGARH","LOKMANYA TILAK TERMINUS","Thursday"
"11055","GODAN EXPRES","LOKMANYA TILAK TERMINUS","GORAKHPUR JN.","Thursday"
